shortID,siteID,basin,state,siteName,siteUse,destinationCode,destinationFlag,dataSource,usbrID,usgsID,cdssID,wyseoID,utdwrID,nmoseID,historicalRecord,decLat,decLong,dest_decLat,dest_decLong,notes,startDate,endDate,no_fill_years
1279,div_1279_irrigation,grb,wy,grb_wy_gibson_and_blair_ditch,irrigation,41,0,WYSEO,,,,1025,,,y,41.029264,-107.683532,,,,,,
1280,div_1280_irrigation,grb,wy,grb_wy_gilligan_ivan_ditch,irrigation,19,0,WYSEO,,,,1026,,,y,42.673896,-109.481126,,,,,,
1281,div_1281_irrigation,grb,wy,grb_wy_green_river_island_ditch,irrigation,20,0,WYSEO,,,,1027,,,y,42.403855,-110.108224,,,,,,
1282,div_1282_irrigation,grb,wy,grb_wy_green_river_supply_canal,irrigation,20,0,WYSEO,,,,0410GR36,,,y,42.851913,-109.979752,,,,,,
1283,div_1283_irrigation,grb,wy,grb_wy_guthrie_no_2_ditch,irrigation,20,0,WYSEO,,,,1028,,,y,42.834206,-110.4275,,,,,,
1284,div_1284_irrigation,grb,wy,grb_wy_h_mckay_ditch,irrigation,20,0,WYSEO,,,,0410NP28,,,y,42.609245,-110.201943,,,,,,
1285,div_1285_irrigation,grb,wy,grb_wy_hanna_ditch,irrigation,20,0,WYSEO,,,,1029,,,y,42.613917,-109.943097,,,,,,
1286,div_1286_irrigation,grb,wy,grb_wy_harry_rahm_ditch,irrigation,19,0,WYSEO,,,,1030,,,y,42.939978,-109.969672,,,,,,
1287,div_1287_irrigation,grb,wy,grb_wy_hartley_ditch,irrigation,20,0,WYSEO,,,,1031,,,y,42.944604,-110.357861,,,,,,
1288,div_1288_irrigation,grb,wy,grb_wy_high_line_ditch,irrigation,19,0,WYSEO,,,,1032,,,y,42.99188,-109.918218,,,,,,
1289,div_1289_irrigation,grb,wy,grb_wy_highland_canal,irrigation,19,0,WYSEO,,,,9196960,,,y,42.899115,-109.839488,,,,,,
1290,div_1290_irrigation,grb,wy,grb_wy_highline_canal,irrigation,20,0,WYSEO,,,,1033,,,y,42.52592,-110.045805,,,,,,
1291,div_1291_irrigation,grb,wy,grb_wy_hill_ditch,irrigation,20,0,WYSEO,,,,1034,,,y,42.749626,-109.957705,,,,,,
1292,div_1292_irrigation,grb,wy,grb_wy_homestake_ditch,irrigation,20,0,WYSEO,,,,0410SP09,,,y,42.509904,-110.199996,,,,,,
1293,div_1293_irrigation,grb,wy,grb_wy_hope_ditch,irrigation,20,0,WYSEO,,,,1035,,,y,42.787599,-110.192459,,,,,,
1294,div_1294_irrigation,grb,wy,grb_wy_hughes_ditch,irrigation,20,0,WYSEO,,,,1036,,,y,42.64059,-110.271948,,,,,,
1295,div_1295_irrigation,grb,wy,grb_wy_interstate_canal,irrigation,28,0,WYSEO,,,,0414INST,,,y,40.947924,-110.055846,,,,,,
