basin,state,siteName,siteUse,destinationCode,destinationFlag,decLat,decLong,dest_decLat,dest_decLong,s_t_r,adwrID,adwrCFS,cdssID,notes
cms,co,cms_co_fry_ark_pr_mormon_creek,interbasin,,-1,39.355584,-106.534225,,,,,,3801602,"part of North Collection system of Fry Ark project. Feeds Mormon tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
cms,co,cms_co_fry_ark_pr_no_cunham_cr,interbasin,,-1,39.336385,-106.544306,,,,,,3801606,"part of North Collection system of Fry Ark project. Feeds Cunham tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
cms,co,cms_co_fry_ark_pr_mid_cunham_cr,interbasin,,-1,39.328647,-106.551596,,,,,,3801600,"part of North Collection system of Fry Ark project. Feeds Cunham tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
cms,co,cms_co_fry_ark_pr_so_cunham_cr,interbasin,,-1,39.330882,-106.559638,,,,,,3801616,"part of North Collection system of Fry Ark project. Feeds Cunham tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
cms,co,cms_co_fry_ark_pr_ivanhoe_creek,interbasin,,-1,39.287589,-106.558921,,,,,,3801595,"part of North Collection system of Fry Ark project. Feeds Nast tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
cms,co,cms_co_fry_ark_pr_lily_pad_cr,interbasin,,-1,39.258422,-106.537274,,,,,,3801598,"part of North Collection system of Fry Ark project. Feeds Nast tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
cms,co,cms_co_fry_ark_pr_granite_creek,interbasin,,-1,39.256739,-106.564195,,,,,,3801592,"part of North Collection system of Fry Ark project. Feeds Nast tunnel. Eventually, this water is fed into Boustead Tunnel and exported from UCRB"
grb,wy,grb_wy_eden_no_1_canal,irrigation,,,,,,,17-27-106,,,,
grb,wy,grb_wy_means_canal,irrigation,,,,,,,11-26-106,,,,
grb,wy,grb_wy_mesa_irrigating_canal,irrigation,,,,,,,2-13-089,,,,
grb,wy,grb_wy_harrison_sayer_ditch,irrigation,,,,,,,25-34-114,,,,
grb,wy,grb_wy_maude_ditch,irrigation,,,,,,,14-13-118,,,,
grb,wy,grb_wy_cl_byrne_no_2_ditch,irrigation,,,,,,,4-14-117,,,,
grb,wy,grb_wy_green_river_water_works,industrial,,,,,,,15-18-107,,,,
grb,wy,grb_wy_westvaco_pipeline,industrial,,,,,,,16-20-109,,,,
grb,wy,grb_wy_jim_bridger_powerplant,industrial,,,,,,,15-18-107,,,,
grb,wy,grb_wy_bertram_ditch,irrigation,,,,,,,16-31-109,,,,
grb,wy,grb_wy_naughton_powerplant,industrial,,,,,,,27-22-116,,,,
grb,wy,grb_wy_botero_ditch,irrigation,,,,,,,18-13-115,,,,
grb,wy,grb_wy_mccaully_sargent_ditch,irrigation,,,,,,,17-35-113,,,,
grb,wy,grb_wy_darrow_ditch,irrigation,,,,,,,4-35-113,,,,
grb,wy,grb_wy_little_sandy_ditch,irrigation,,,,,,,9-29-104,,,,
grb,wy,grb_wy_cm_larson_ditch,irrigation,,,,,,,18-15-113,,,,
grb,wy,grb_wy_outlet_cross_ditch,irrigation,,,,,,,19-14-117,,,,
grb,wy,grb_wy_old_mexican_ditch,irrigation,,,,,,,25-21-113,,,,
grb,wy,grb_wy_vickery_no_1_ditch,irrigation,,,,,,,25-34-114,,,,
grb,wy,grb_wy_stag_hollow_ditch,irrigation,,,,,,,11-12-114,,,,
grb,wy,grb_wy_martin_ditch,irrigation,,,,,,,2-35-113,,,,
grb,wy,grb_wy_south_fork_ditch,irrigation,,,,,,,24-25-116,,,,
grb,wy,grb_wy_sutton_ditch,irrigation,,,,,,,32-34-110,,,,
grb,wy,grb_wy_pearson_ditch,irrigation,,,,,,,32-35-111,,,,
cms,co,cms_co_fraser_river_diversion_project_fraser_river,interbasin,,-1,39.861642,-105.749436,,,,,,5100639,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_jim_creek,interbasin,,-1,39.880668,-105.741527,,,,,,5101264,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_little_vasquez,interbasin,,-1,39.890172,-105.794707,,,,,,5101265,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_buck_creek,interbasin,,-1,39.891207,-105.751664,,,,,,5101266,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_north_ranch,interbasin,,-1,39.95195,-105.736384,,,,,,5101267,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_ranch_creek,interbasin,,-1,39.939828,-105.732684,,,,,,5101268,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_south_ranch,interbasin,,-1,39.929174,-105.734888,,,,,,5101269,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_west_st_louis,interbasin,,-1,39.890661,-105.909581,,,,,,5101270,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_st_louis_ck,interbasin,,-1,39.852596,-105.909523,,,,,,5101309,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_vasquez_creek,interbasin,,-1,39.865505,-105.820273,,,,,,5101310,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB. Technically, this diversion diverts natural flows in Vasquez Creek AND rediverts water imported from the Williams Fork basin (see Williams Fork Tunnel and associated note)"
cms,co,cms_co_fraser_river_diversion_project_faun_creek,interbasin,,-1,39.915293,-105.748452,,,,,,5101313,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
cms,co,cms_co_fraser_river_diversion_project_cooper_creek,interbasin,,-1,39.88936,-105.774943,,,,,,5101324,"part of Fraser River Diversion Project. Eventually feeds Moffat Tunnel, which exports water from UCRB"
