,Q_mmd,Q_cfs,gage,prcp,srad,swe,tmax,tmin,vp,eto,vpd
2000-05-11,3.117226726652842,14.5,WFKCROCO,0.0,574.205656860774,521.5508544499486,6.28473360414736,-2.4334325243445,511.0202244002925,4.830903169770553,0.6089219236662643
2000-05-12,1.8961337744191769,8.82,WFKCROCO,0.0,636.0451458254488,521.5508544499486,1.758249144250959,-7.882252538740428,337.7720018644233,3.3828490160740783,0.4114482213469111
2000-05-13,1.18454615612808,5.51,WFKCROCO,0.0,724.883164539799,521.5508544499486,4.775553636072416,-6.992515600758853,361.77532728782575,3.762755870324105,0.5183825186173395
2000-05-14,1.354381267442269,6.3,WFKCROCO,0.0,701.7245655310608,519.9540416044347,9.24468852343444,-2.199484434259804,519.6418292299687,4.670176422389733,0.70411496739899
2000-05-15,1.4984186403289865,6.97,WFKCROCO,0.0,667.0869165123539,516.9789117410521,11.947013673485356,1.0888338953153485,660.7365840502675,5.456661243834709,0.8738659998331101
2000-05-16,0.8663740488559277,4.03,WFKCROCO,0.0,513.0196467416096,513.9040408124561,8.790003473123464,1.3191072529162502,671.8592195398667,5.401881194527173,0.8096991023596595
2000-05-17,0.4278124955889072,1.99,WFKCROCO,0.0,528.3267803469331,513.9040408124561,-0.4478166147763598,-7.863820059159223,338.27314648479734,3.550229537775772,0.4337173320636616
2000-05-18,0.8599246142490597,4.0,WFKCROCO,0.0,791.4349987835205,513.9005529806275,7.483761249199046,-6.3433183018311485,375.5980833271383,3.4506729614363416,0.4662127978867725
2000-05-19,1.049108029383853,4.88,WFKCROCO,0.0,646.4855106762948,513.1220592459179,5.71226296193872,-4.144861611527968,449.48046933078433,3.6024934671329376,0.5115608558729033
2000-05-20,1.8423884860286108,8.57,WFKCROCO,0.0,700.063766891321,511.7635638913481,8.181079718645881,-2.7690657670110155,496.8134624547199,4.145421663865086,0.5951202914995306
2000-05-21,1.7886431976380444,8.32,WFKCROCO,0.0,780.2498321427606,509.9014218023492,11.884875398853657,-1.5661141882305736,512.3687006333295,4.509923098904038,0.6826737202368806
2000-05-22,3.4182003416400124,15.9,WFKCROCO,0.0,773.9783001856821,506.7157118536609,15.309224881762862,1.5866435923378364,628.5598606624404,4.990182800358967,0.8244146138120274
2000-05-23,3.8266645334083162,17.8,WFKCROCO,0.0,816.9181350232819,502.989087188615,18.84073012592883,2.868685149733995,651.2920519132515,5.352235547399025,0.9248838060248682
2000-05-24,3.3967022262837863,15.8,WFKCROCO,0.0,696.0947881256419,499.03879432546233,14.850885772705077,3.4054152284114,733.6483789146978,5.029156605182635,0.8667902912648077
2000-05-25,3.5041928030649188,16.3,WFKCROCO,0.0,730.7516834298632,495.8811188166528,13.649017260726348,1.5203321815362028,600.9999783314636,4.903384062658132,0.8135831045238203
2000-05-26,3.2892116495026538,15.3,WFKCROCO,0.0,657.2196702158574,493.6253096531006,9.369501633627603,-0.6315328759408739,550.1791677930363,4.211414082735057,0.5632765368194316
2000-05-27,3.009736149871709,14.0,WFKCROCO,0.0,810.2063911833976,491.5709585645207,13.46545330760388,-1.1106297576509956,465.57982283331535,4.439137635346516,0.65399911422218
2000-05-28,2.9882380345154824,13.9,WFKCROCO,0.0,802.2866808195014,487.8643629661481,17.534785514884337,2.8263633295738986,592.5451821931094,5.383985996246337,0.9604299680584442
2000-05-29,2.9882380345154824,13.9,WFKCROCO,0.0,730.6856910784763,482.95779940595264,18.065304550250097,5.683993113329665,753.8675246083612,6.247833369924948,1.125883163424099
2000-05-30,3.6976758412709567,17.2,WFKCROCO,0.0,766.6596273560838,478.5685084676248,18.13613826593313,4.446844271062568,674.350657637969,6.543686311880197,1.2034935532144198
2000-05-31,2.5152794966784997,11.7,WFKCROCO,0.0,773.7125530942501,474.899346258566,16.553601925595817,2.7395467181519235,596.8414531140178,5.970321103363299,1.036694058992458
2000-06-01,3.568687149133599,16.6,WFKCROCO,0.0,799.3867335124824,470.9311236530026,18.29046714017135,3.444480971399063,606.8782806502081,5.019745998151575,0.9417616958642911
2000-06-02,2.7302606502407643,12.7,WFKCROCO,0.0,801.7425665937906,467.578503449648,16.795612597878,1.985252569291006,553.3565263477576,5.158781106249271,0.857181388614087
2000-06-03,1.8058416899230254,8.4,WFKCROCO,0.0,750.5536861855268,464.41886251376974,14.339283835599163,1.5236021005158604,565.8342958021328,5.243840009365939,0.9349665141229396
2000-06-04,1.6231077093951003,7.55,WFKCROCO,0.0,759.5813022705921,460.9070589481341,15.541249060713296,2.3549965410496534,572.1736267934621,4.977669383250305,0.9787610507341402
2000-06-05,1.5328156248989488,7.13,WFKCROCO,0.0,801.2162038202515,457.7602566412163,16.311868512176726,1.4971176194072182,492.8142813923449,5.287949644570531,0.8909935369004841
2000-06-06,1.4618718442234016,6.8,WFKCROCO,0.0,750.2740234586194,454.18735626115097,15.64784086814801,2.5089238712119397,523.9342922329491,5.353631992076094,1.0041164580307207
2000-06-07,1.2339918214474008,5.74,WFKCROCO,0.0,818.5218200683594,450.2282484641949,19.856986118435444,3.4259965361195857,503.1581091118518,5.288567184659436,1.0898415593539963
2000-06-08,1.0770555793469474,5.01,WFKCROCO,0.0,766.6171897808986,446.5890495854679,16.739532936320582,2.663100333279804,489.250560646981,5.53884538597714,0.9026730609393864
2000-06-09,1.0835050139538154,5.04,WFKCROCO,0.0,565.206395069373,443.6010884743661,10.0240554189187,1.1145951662302842,564.463453647917,4.595030387132637,0.5920085983705355
2000-06-10,0.9738646256370602,4.53,WFKCROCO,0.0,720.6412265869984,441.1015450025512,12.534823517650882,-0.0471418694016172,441.6029653159805,4.863574227824755,0.710871675497108
2000-06-11,0.8620744257846825,4.01,WFKCROCO,0.0,695.6695727074435,437.76807697652526,13.976965323781473,1.93737715882826,511.5588463806363,5.004550169413476,0.8002367290246032
2000-06-12,0.7696325297529085,3.58,WFKCROCO,0.0,710.1649898753448,434.0940889668712,15.2567612545713,2.752674717639145,527.0303426669955,5.622370296366074,0.9040526458136352
2000-06-13,0.8233778181434748,3.83,WFKCROCO,0.0,699.4670039510231,429.9903117143571,16.04343951400176,3.7655571110933295,566.7290473278007,5.43651040499598,0.8333638176579787
2000-06-14,0.993212929457664,4.62,WFKCROCO,0.0,821.0011694462653,426.8944610278911,18.18432507564452,1.3756712746661424,406.5931861323057,4.8289755298192105,0.7526808675185207
2000-06-15,1.0555574639907208,4.91,WFKCROCO,0.0,778.7015500395357,422.44483040674334,19.995245544803183,4.588743969973396,521.4361740693089,5.860215549567991,0.9516449120836687
2000-06-16,0.804029514322871,3.74,WFKCROCO,0.0,764.4988214301403,418.6685368943791,17.99101378760948,2.99347403717701,483.7371071680194,5.328674645242393,0.8124094545428728
2000-06-17,0.655692518364908,3.05,WFKCROCO,0.0,702.6610447867106,414.805680958045,16.12507963840524,3.1945709322563087,532.4922510483685,5.365801010824816,0.8370454802851363
2000-06-18,0.662141952971776,3.08,WFKCROCO,0.0,671.3811045715966,410.9311812562513,15.34722149330852,3.224079555458676,554.6401836250067,5.109955968988808,0.8233641859981842
2000-06-19,0.6943891260061158,3.23,WFKCROCO,0.0,525.5203793746789,407.50347014430486,10.889290554548216,2.1644325201486634,564.0335318700666,4.9261543716113865,0.6773947474865764
2000-06-20,0.6578423299005308,3.06,WFKCROCO,0.0,666.4530966788427,403.8221854134001,14.51922839966612,2.763550170647644,448.4695364770592,5.243585093541128,0.7834067385501926
2000-06-21,0.6406438376155495,2.98,WFKCROCO,0.0,798.0882584198947,400.6458873392389,17.549962108440464,1.5639480945560755,304.64518233038564,5.005788087679853,0.9369470086889696
2000-06-22,0.6234453453305683,2.9,WFKCROCO,0.0,751.6029921798969,396.7420948912941,17.514235445702365,3.292816614774684,368.4271151955152,5.15751550651339,0.9251457075965444
2000-06-23,0.6384940260799269,2.97,WFKCROCO,0.0,594.6443418509408,392.460949305762,14.271650554234595,4.193598650483524,512.934379413961,4.592218917298894,0.8212534525608933
2000-06-24,0.6470932722224174,3.01,WFKCROCO,0.0,624.1473484554092,388.84851944339306,13.250626415859866,2.6024464037179125,447.1989717688114,4.914662938134479,0.8188286214345053
2000-06-25,0.6169959107237004,2.87,WFKCROCO,0.0,766.940428378095,385.262728322171,17.33629774139826,2.5350623040875755,342.87621260382315,4.867295815457934,0.8182170637544876
2000-06-26,0.6126962876524551,2.85,WFKCROCO,3.894179945256058,539.5965230024398,381.7126764317285,15.905086530863615,2.452162629757785,483.4680907041557,4.3908213001634,0.6936803493738998
2000-06-27,0.6492430837580402,3.02,WFKCROCO,4.9658512480118695,365.1820634360132,377.7328249604644,11.434920369712538,3.4769688395067893,693.3338858950922,4.634536356579473,0.6822422637452715
2000-06-28,0.6384940260799269,2.97,WFKCROCO,7.218339151659638,511.0507074903865,374.2975843066574,14.344626296020296,2.1773494677147647,527.5701720769016,4.700219544077414,0.8221219983067892
2000-06-29,0.6664415760430213,3.1,WFKCROCO,5.868024231240823,413.85415376973407,370.5627752284277,11.94398611194122,2.8943875483575576,577.112806105036,4.814298263635603,0.7770175630039821
2000-06-30,0.6642917645073986,3.09,WFKCROCO,6.207252598303825,545.1522202224468,366.9967787904311,15.60782366062943,2.4893044678810146,359.5763772931478,4.808525160357201,0.843222862110831
2000-07-01,0.6599921414361534,3.07,WFKCROCO,0.0,733.2483171192418,363.38526901720303,15.596858003147746,2.5963045072390547,260.12870254252607,4.611169004440307,0.8085828200549814
2000-07-02,0.6406438376155495,2.98,WFKCROCO,4.732311421694639,560.7043088285981,358.96520981310147,18.18751541652481,4.526851175730616,325.90144946880406,4.6472168085896834,0.9206644939922544
